chunk_id,policy,round_id,source_type,text
BL_R1_c0,BL,1.0,RL_RATIONALE,재취급률(OSR) 0.000로 낮아 양하 시 불필요한 재취급이 거의 없음.
BL_R1_c1,BL,1.0,RL_RATIONALE,무게균형지수(WBI) 1.000로 높아 행간 하중이 고르게 분산됨.
BL_R2_c0,BL,2.0,RL_RATIONALE,동일 POD 수평 적재 우수 (보상 +12.0) — 해당 항목이 양(+)의 기여를 하여 계획 품질을 높임.
BL_R2_c1,BL,2.0,RL_RATIONALE,Same-Tier 밴드 정렬 우수 (보상 +6.0) — 해당 항목이 양(+)의 기여를 하여 계획 품질을 높임.
BL_R2_c2,BL,2.0,RL_RATIONALE,행간 무게 균형 우수 (보상 +5.2) — 해당 항목이 양(+)의 기여를 하여 계획 품질을 높임.
BL_R2_c3,BL,2.0,RL_RATIONALE,재취급률(OSR) 0.000로 낮아 양하 시 불필요한 재취급이 거의 없음.
BL_R2_c4,BL,2.0,RL_RATIONALE,POD 순수도(PSR) 1.000 — 같은 목적항 컨테이너가 한 행에 그룹핑되어 반출순서 최적화에 유리.
BL_R3_c0,BL,3.0,RL_RATIONALE,동일 POD 수평 적재 우수 (보상 +44.0) — 해당 항목이 양(+)의 기여를 하여 계획 품질을 높임.
BL_R3_c1,BL,3.0,RL_RATIONALE,행간 무게 균형 우수 (보상 +14.7) — 해당 항목이 양(+)의 기여를 하여 계획 품질을 높임.
BL_R3_c2,BL,3.0,RL_RATIONALE,Same-Tier 밴드 정렬 우수 (보상 +14.0) — 해당 항목이 양(+)의 기여를 하여 계획 품질을 높임.
BL_R3_c3,BL,3.0,RL_RATIONALE,재취급률(OSR) 0.000로 낮아 양하 시 불필요한 재취급이 거의 없음.
BL_R3_c4,BL,3.0,RL_RATIONALE,POD 순수도(PSR) 1.000 — 같은 목적항 컨테이너가 한 행에 그룹핑되어 반출순서 최적화에 유리.
BL_R4_c0,BL,4.0,RL_RATIONALE,동일 POD 수평 적재 우수 (보상 +1052.0) — 해당 항목이 양(+)의 기여를 하여 계획 품질을 높임.
BL_R4_c1,BL,4.0,RL_RATIONALE,행간 무게 균형 우수 (보상 +262.3) — 해당 항목이 양(+)의 기여를 하여 계획 품질을 높임.
BL_R4_c2,BL,4.0,RL_RATIONALE,Same-Tier 밴드 정렬 우수 (보상 +200.0) — 해당 항목이 양(+)의 기여를 하여 계획 품질을 높임.
BL_R4_c3,BL,4.0,RL_RATIONALE,재취급률(OSR) 0.000로 낮아 양하 시 불필요한 재취급이 거의 없음.
BL_R4_c4,BL,4.0,RL_RATIONALE,무게균형지수(WBI) 0.936로 높아 행간 하중이 고르게 분산됨.
SF_R1_c0,SF,1.0,RL_RATIONALE,재취급률(OSR) 0.000로 낮아 양하 시 불필요한 재취급이 거의 없음.
